ID: 17380, Имя: AppleMobileDeviceProcess, Приоритет: 8, Время запуска: 22.12.2023 9:55:46, Текущее состояние: True, Процессор использовал 00:00:05.2812500 времени
ID: 14920, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:46, Текущее состояние: True, Процессор использовал 00:00:00.1875000 времени
ID: 6800, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:55:46, Текущее состояние: True, Процессор использовал 00:00:02.2187500 времени
ID: 14116, Имя: Win32Bridge.Server, Приоритет: 8, Время запуска: 22.12.2023 9:55:46, Текущее состояние: True, Процессор использовал 00:00:00.1562500 времени
ID: 18936, Имя: SDXHelper, Приоритет: 4, Время запуска: 22.12.2023 9:55:47, Текущее состояние: True, Процессор использовал 00:00:17.1562500 времени
ID: 13120, Имя: sidebar, Приоритет: 8, Время запуска: 22.12.2023 9:55:47, Текущее состояние: True, Процессор использовал 00:00:00.1875000 времени
ID: 1348, Имя: acrotray, Приоритет: 8, Время запуска: 22.12.2023 9:55:47, Текущее состояние: True, Процессор использовал 00:00:00.1406250 времени
ID: 8148, Имя: CCXProcess, Приоритет: 8, Время запуска: 22.12.2023 9:55:48, Текущее состояние: True, Процессор использовал 00:00:00 времени
ID: 13076, Имя: node, Приоритет: 8, Время запуска: 22.12.2023 9:55:48, Текущее состояние: True, Процессор использовал 00:00:48.4531250 времени
ID: 13652, Имя: jusched, Приоритет: 8, Время запуска: 22.12.2023 9:55:48, Текущее состояние: True, Процессор использовал 00:00:00.0781250 времени
ID: 8912, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 9:55:48, Текущее состояние: True, Процессор использовал 00:00:00.0937500 времени
ID: 4672, Имя: AdobeIPCBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:49, Текущее состояние: True, Процессор использовал 00:00:00.2968750 времени
ID: 2132, Имя: CDASrv, Приоритет: 8, Время запуска: 22.12.2023 9:56:01, Текущее состояние: True, Процессор использовал 00:00:00.0312500 времени
ID: 26088, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:56:21, Текущее состояние: True, Процессор использовал 00:00:03.9687500 времени
